sgUF,qtdParlamentares,vlrLiquido
AC,15,4139909.19
AL,15,3869822.77
AM,15,3864043.06
AP,15,4006119.57
BA,56,17252057.43
CE,36,10329604.7
DF,14,1747584.15
ES,17,3426496.97
GO,28,5831659.23
MA,33,8031270.03
MG,82,19172112.87
MS,16,3027655.97
MT,16,3064463.63
PA,27,7969568.98
PB,19,5465040.93
PE,38,10689517.5
PI,16,4509050.16
PR,46,11922844.42
RJ,81,17426100.82
RN,13,3448304.02
RO,14,3073058.15
RR,13,3967743.72
RS,47,12132761.3
SC,28,5288568.03
SE,12,3640284.04
SP,103,24969981.85
TO,12,3419736.12
